Mã tài sản,Tên tài sản,Ngày vào sổ,Ngày sử dụng,Đơn vị sử dụng,Số lượng TS con,Số lượng Phụ lục ts,Ghi chú,Tài khoản tài sản,Dự án,Mô hình tài sản,Nguyên giá tài sản,Giá trị Khấu hao ban đầu,Kỳ khấu hao ban đầu,GTCL ban đầu,Giá trị Khấu hao phát sinh,Kỳ khấu hao phát sinh,Giá trị khấu hao còn lại,Kỳ khấu hao còn lại
A.3.KDT.4.0051,A.3.KDT.4.0051 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0052,A.3.KDT.4.0052 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0053,A.3.KDT.4.0053 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0054,A.3.KDT.4.0054 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0055,A.3.KDT.4.0055 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0056,A.3.KDT.4.0056 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0057,A.3.KDT.4.0057 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0058,A.3.KDT.4.0058 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0059,A.3.KDT.4.0059 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0060,A.3.KDT.4.0060 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0061,A.3.KDT.4.0061 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0062,A.3.KDT.4.0062 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0063,A.3.KDT.4.0063 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0064,A.3.KDT.4.0064 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0065,A.3.KDT.4.0065 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0066,A.3.KDT.4.0066 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0067,A.3.KDT.4.0067 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0068,A.3.KDT.4.0068 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.589,00","58.442.589,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0069,A.3.KDT.4.0069 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.589,00","58.442.589,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0070,A.3.KDT.4.0070 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.589,00","58.442.589,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0071,A.3.KDT.4.0071 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.589,00","58.442.589,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0072,A.3.KDT.4.0072 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0073,A.3.KDT.4.0073 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0074,A.3.KDT.4.0074 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0075,A.3.KDT.4.0075 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0076,A.3.KDT.4.0076 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0077,A.3.KDT.4.0077 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.590,00","58.442.590,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0078,A.3.KDT.4.0078 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.589,00","58.442.589,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0079,A.3.KDT.4.0079 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.589,00","58.442.589,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0080,A.3.KDT.4.0080 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.589,00","58.442.589,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0081,A.3.KDT.4.0081 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.589,00","58.442.589,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0082,A.3.KDT.4.0082 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.589,00","58.442.589,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0083,A.3.KDT.4.0083 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.589,00","58.442.589,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0084,A.3.KDT.4.0084 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.589,00","58.442.589,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0085,A.3.KDT.4.0085 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.589,00","58.442.589,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0086,A.3.KDT.4.0086 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.589,00","58.442.589,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0087,A.3.KDT.4.0087 - Khởi động từ PN Uđm=380/600v Iđm=120A QBZ-120,2012-11-11,2012-11-11,Phòng CV,"0,00","0,00",,2112,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2112-Máy móc, thiết bị","58.442.589,00","58.442.589,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0088,A.3.KDT.4.0088 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.183,00","57.078.183,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0089,A.3.KDT.4.0089 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.183,00","57.078.183,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0090,A.3.KDT.4.0090 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0091,A.3.KDT.4.0091 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0092,A.3.KDT.4.0092 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0093,A.3.KDT.4.0093 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0094,A.3.KDT.4.0094 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0095,A.3.KDT.4.0095 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0096,A.3.KDT.4.0096 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0097,A.3.KDT.4.0097 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0098,A.3.KDT.4.0098 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0099,A.3.KDT.4.0099 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0100,A.3.KDT.4.0100 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0101,A.3.KDT.4.0101 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0102,A.3.KDT.4.0102 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0103,A.3.KDT.4.0103 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0104,A.3.KDT.4.0104 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0105,A.3.KDT.4.0105 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0106,A.3.KDT.4.0106 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0107,A.3.KDT.4.0107 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0108,A.3.KDT.4.0108 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0109,A.3.KDT.4.0109 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0110,A.3.KDT.4.0110 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0111,A.3.KDT.4.0111 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0112,A.3.KDT.4.0112 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0113,A.3.KDT.4.0113 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0114,A.3.KDT.4.0114 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0115,A.3.KDT.4.0115 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0116,A.3.KDT.4.0116 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0117,A.3.KDT.4.0117 - Khởi động từ phòng nổ Uđm = 600V; Iđm = 120A,2014-11-03,2014-11-03,Phòng CV,"0,00","0,00",,2112,047 - Duy trì sản xuất năm 2014 - Cty than Uông Bí,"2112-Máy móc, thiết bị","57.078.184,00","57.078.184,00","72,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0118,"A.3.KDT.4.0118 - Khởi động từ loại PN Uđm=600V, Iđm=120A, mã hiệu QBZ-120",2015-07-22,2015-07-22,Phân xưởng khai thác đào lò 6,"0,00","0,00",,2112,046 - Phục vụ SX 2015- Than Uông Bí,"2112-Máy móc, thiết bị","57.641.041,00","57.641.041,00","108,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0119,"A.3.KDT.4.0119 - Khởi động từ loại PN Uđm=600V, Iđm=120A, mã hiệu QBZ-120",2015-07-22,2015-07-22,Phân xưởng khai thác đào lò 6,"0,00","0,00",,2112,046 - Phục vụ SX 2015- Than Uông Bí,"2112-Máy móc, thiết bị","57.641.041,00","57.641.041,00","108,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0120,"A.3.KDT.4.0120 - Khởi động từ loại PN Uđm=600V, Iđm=120A, mã hiệu QBZ-120",2015-07-22,2015-07-22,Phân xưởng khai thác đào lò 6,"0,00","0,00",,2112,046 - Phục vụ SX 2015- Than Uông Bí,"2112-Máy móc, thiết bị","57.641.042,00","57.641.042,00","108,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0121,"A.3.KDT.4.0121 - Khởi động từ loại PN Uđm=600V, Iđm=120A, mã hiệu QBZ-120",2015-07-22,2015-07-22,Phân xưởng khai thác đào lò 6,"0,00","0,00",,2112,046 - Phục vụ SX 2015- Than Uông Bí,"2112-Máy móc, thiết bị","57.641.042,00","57.641.042,00","108,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.4.0122,"A.3.KDT.4.0122 - Khởi động từ loại PN Uđm=600V, Iđm=120A, mã hiệu QBZ-120",2015-07-22,2015-07-22,Phân xưởng khai thác đào lò 6,"0,00","0,00",,2112,046 - Phục vụ SX 2015- Than Uông Bí,"2112-Máy móc, thiết bị","57.641.042,00","57.641.042,00","108,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.5.0001,"A.3.KDT.5.0001 - Khởi động từ PN, Udm=660/380V, Idm=200A QBZ-200 ",2010-12-20,2010-12-20,Phòng CV,"0,00","0,00",,2112,016 - Dự án Đầu tư duy trì sản xuất năm 2010 Công ty Than Hồng Thái,"2112-Máy móc, thiết bị","59.851.915,00","59.851.915,00","120,00","0,00","0,00","0,00","0,00","0,00"
A.3.KDT.5.0003,"A.3.KDT.5.0003 - Khởi động từ PN, Udm=660/380V, Idm=200A QBZ-200 ",2010-12-20,2010-12-20,Phòng CV,"0,00","0,00",,2112,016 - Dự án Đầu tư duy trì sản xuất năm 2010 Công ty Than Hồng Thái,"2112-Máy móc, thiết bị","59.851.914,00","59.851.914,00","120,00","0,00","0,00","0,00","0,00","0,00"
